개방자치단,관리번호,인허가일자,인허가취소,영업상태코,영업상태명,상세영업상,상세영업_1,폐업일자,휴업시작일,휴업종료일,재개업일자,전화번호,소재지면적,소재지우편,지번주소,도로명주소,도로명우편,사업장명,최종수정일,데이터갱신,데이터갱_1,업태구분명,좌표정보(X,좌표정보(Y,축산업무구,축산물가공,축산일련번,권리주체일,총인원
3150000,3.15E+17,20210525,,1,영업/정상,0,정상,,,,,02-6953-7576,0,,서울특별시 강서구 등촌동 507-8 렙쇼메이빌딩,서울특별시 강서구 등촌로 223 렙쇼메이빌딩 2층 (등촌동),7665,로운동물의료센터,2.02206E+13,U,44536.00278,,943695.0924,1949917.698,,,,,
3180000,3.18E+17,20180622,,1,영업/정상,0,정상,,,,,02-2676-7582,0,,서울특별시 영등포구 양평동1가 28-3,서울특별시 영등포구 영등포로 85-1 1 2 지층 (양평동1가),7262,24시 수 동물메디컬센터,2.02204E+13,U,44533.96042,,946129.7877,1946874.201,,,,,
3210000,3.21E+17,20180509,,1,영업/정상,0,정상,,,,,02-523-0275,96.96,,서울특별시 서초구 방배동 951-3 대진빌딩,서울특별시 서초구 서초대로4길 4 대진빌딩 1층 (방배동),6675,심바동물병원,2.02204E+13,U,44533.91875,,954417.6294,1942733.953,,,,,
3230000,3.23E+17,20170814,,1,영업/정상,0,정상,,,,,02-419-7571,185.6,,서울특별시 송파구 송파동 135-2,서울특별시 송파구 백제고분로 432 2층 (송파동),5662,송파원동물병원,2.02204E+13,U,44534.00625,,965626.2682,1945318.846,,,,,
3130000,3.13E+17,20170331,,1,영업/정상,0,정상,,,,,02-719-7052,0,,서울특별시 마포구 아현동 331-2,서울특별시 마포구 신촌로 258 12층 (아현동),4115,소망동물병원,2.02204E+13,U,44534.00208,,951730.7327,1950695.54,,,,,
3180000,3.18E+17,20170216,,1,영업/정상,0,정상,,,,,02-2635-2475,,,서울특별시 영등포구 당산동5가 11-30 12층,서울특별시 영등포구 양평로 5 12층 (당산동5가 성원빌딩),7214,이든동물의료센터,2.02204E+13,U,44534.00486,,947362.4051,1947948.324,,,,,
3220000,3.22E+17,20170106,,1,영업/정상,0,정상,,,,,02-549-0275,0,,서울특별시 강남구 신사동 587-13 1층 지하1층,서울특별시 강남구 도산대로 213 (신사동 1층 지하1층),6026,24시 스마트동물병원(신사본원),2.02204E+13,U,44533.95833,,958394.9943,1946624.686,,,,,
3100000,3.1E+17,20150522,,1,영업/정상,0,정상,,,,,,0,,서울특별시 노원구 공릉동 576-23,서울특별시 노원구 동일로 1025-1 (공릉동),1858,메인동물메디컬센터,2.02206E+13,U,44535.91806,,962329.1041,1957809.836,,,,,
3040000,3.04E+17,20210427,,1,영업/정상,0,정상,,,,,02-2039-9930,101.56,,서울특별시 광진구 자양동 612-56,서울특별시 광진구 자양로15길 30 1층 (자양동),5055,우주동물병원,2.02206E+13,U,44536.00486,,962990.4272,1948262.59,,,,,
3180000,3.18E+17,20160303,,1,영업/정상,0,정상,,,,,02-571-8275,0,,서울특별시 영등포구 영등포동 423-44 1층,서울특별시 영등포구 경인로 832 1층 (영등포동 대성빌딩),7306,경인동물의료센터,2.02203E+13,U,44534.00069,,947383.8327,1946127.892,,,,,
3220000,3.22E+17,20160808,,1,영업/정상,0,정상,,,,,02-6203-7588,0,,서울특별시 강남구 역삼동 689-2 PRODIGY TOWER,서울특별시 강남구 언주로 542 PRODIGY TOWER 1~2층 (역삼동),6147,서울동물심장병원,2.02206E+13,U,44536.00625,,959349.3719,1945063.428,,,,,
3110000,3.11E+17,20130225,,1,영업/정상,0,정상,,,,,02-387-7582,0,,서울특별시 은평구 응암동 91-5,서울특별시 은평구 은평로 93 (응암동),3461,24시스마트동물메디컬센터,2.02206E+13,U,44536.00625,,948565.2842,1955450.969,,,,,
3130000,3.13E+17,20160104,,1,영업/정상,0,정상,,,,,02-715-0075,0,,서울특별시 마포구 용강동 494-68,서울특별시 마포구 대흥로 24 (용강동 서강빌딩(1~2층)),4162,닥터 호오 동물병원,2.02204E+13,U,44534.00486,,950271.2272,1949144.382,,,,,
3070000,3.07E+17,20060728,,1,영업/정상,0,정상,,,,,929-1212,61.5,,서울특별시 성북구 종암동 68-1,서울특별시 성북구 종암로 91(종암동),2810,미소동물병원,2.02206E+13,U,44536.00625,,958824.2485,1955238.988,,,,,
3150000,3.15E+17,20220609,,1,영업/정상,0,정상,,,,,,,,서울특별시 강서구 화곡동 1060-30 남서울수영장,서울특별시 강서구 화곡로 191 남서울수영장 1층 (화곡동),7700,24시연동물의료센터,2.02206E+13,I,44535.95903,,941817.8121,1949194.25,,,,,
3000000,3E+17,20220613,,1,영업/정상,0,정상,,,,,,136.5,,서울특별시 종로구 숭인동 20-138 지1층,서울특별시 종로구 낙산길 311 지1층 (숭인동),3107,폴라동물병원,2.02206E+13,I,44535.96181,,957301.6023,1953266.194,,,,,
3020000,3.02E+17,20150206,,1,영업/정상,0,정상,,,,,02-703-0075,66.34,,서울특별시 용산구 원효로1가 133-3 리첸시아 용산 B동 113114호,서울특별시 용산구 백범로 341 B동 지상1층 113114호 (원효로1가 리첸시아 용산),4315,좋아서하는 동물병원,2.02204E+13,U,44534.00208,,952872.7636,1948601.314,,,,,
3220000,3.22E+17,20220616,,1,영업/정상,0,정상,,,,,02-515-8575,0,,서울특별시 강남구 논현동 149-6,서울특별시 강남구 학동로20길 39 1층 (논현동),6115,순수동물병원,2.02206E+13,I,44535.96389,,958202.2801,1945523.401,,,,,
3150000,3.15E+17,20141218,,1,영업/정상,0,정상,,,,,02-518-7500,0,,서울특별시 강서구 등촌동 658-4,서울특별시 강서구 화곡로 371 (등촌동),7590,강서YD동물의료센터,2.02203E+13,U,44534.00139,,942710.6473,1950738.967,,,,,
3130000,3.13E+17,20140707,,1,영업/정상,0,정상,,,,,02-711-3375,0,,서울특별시 마포구 염리동 164-4,서울특별시 마포구 독막로 295 (염리동 삼부골든타워106호),4151,굿모닝 동물병원,2.02204E+13,U,44534.00208,,950993.5402,1949324.942,,,,,
3040000,3.04E+17,20130507,,1,영업/정상,0,정상,,,,,450-0472,1674.45,,서울특별시 광진구 화양동 1,서울특별시 광진구 능동로 120 (화양동),5029,건국대학교 부속 동물병원,2.02206E+13,U,44535.91875,,962271.6368,1949026.489,,,,,
3040000,3.04E+17,20170925,,1,영업/정상,0,정상,,,,,24550975,65,,,서울특별시 광진구 광나루로 524 (구의동),5031,연두동물병원,2.02205E+13,U,44535.00347,,963505.6868,1949263.029,,,,,
3030000,3.03E+17,20210624,,1,영업/정상,0,정상,,,,,02-6454-6182,43.9,,서울특별시 성동구 행당동 377 서울숲 더샵 4층,서울특별시 성동구 왕십리로 241 4층 (행당동 서울숲 더샵),4765,바우라움동물병원,2.02206E+13,U,44535.92014,,959357.8227,1950529.557,,,,,
3030000,3.03E+17,20190919,,1,영업/정상,0,정상,,,,,02-2295-9888,47.5,,서울특별시 성동구 하왕십리동 1070 센트라스상가 D동 106호,서울특별시 성동구 왕십리로 410 D동 106호 (하왕십리동 센트라스),4701,베이지동물병원,2.02206E+13,U,44535.92014,,958214.1729,1951660.91,,,,,
3100000,3.1E+17,20080411,,1,영업/정상,0,정상,,,,,973-7588,26.85,,서울특별시 노원구 월계동 26-13 석계문고,서울특별시 노원구 화랑로 349 석계문고 2층 (월계동),1914,우솔종합동물병원,2.02207E+13,U,44537.00556,,961684.716,1957112.022,,,,,
3130000,3.13E+17,20140626,,1,영업/정상,0,정상,,,,,02-307-3355,0,,서울특별시 마포구 상암동 1655,서울특별시 마포구 상암산로1길 24 (상암동 월드컵파크 4단지 상가 113-2),3907,아프지말게 동물병원,2.02204E+13,U,44534.00208,,945950.6553,1953016.172,,,,,
3230000,3.23E+17,20210906,,1,영업/정상,0,정상,,,,,02-2088-2878,0,,서울특별시 송파구 오금동 95-1 이화빌딩,서울특별시 송파구 중대로 320 이화빌딩 1층 (오금동),5720,엘 동물병원,2.02206E+13,U,44535.92083,,967579.9998,1945238.519,,,,,
3230000,3.23E+17,20130515,,1,영업/정상,0,정상,,,,,418-0724,0,,서울특별시 송파구 잠실동 175-6 J타워 202호,서울특별시 송파구 올림픽로 76 J타워 202호 (잠실동),5556,24시잠실ON동물의료센터,2.02204E+13,U,44534.00486,,962724.0626,1945587.916,,,,,
3220000,3.22E+17,20110727,,1,영업/정상,0,정상,,,,,512-3331,388.6,,서울특별시 강남구 삼성동 90-8 스타빌딩,서울특별시 강남구 영동대로 630 스타빌딩 (삼성동),6081,중앙동물메디컬센터,2.02207E+13,U,44536.87569,,961000.2272,1946142.892,,,,,
3130000,3.13E+17,20130315,,1,영업/정상,0,정상,,,,,02-713-8275,0,,서울특별시 마포구 공덕동 385-65 공덕SK리더스뷰,서울특별시 마포구 백범로31길 7 101동 104105호 (공덕동 공덕SK리더스뷰),4147,힐링 24시 동물병원,2.02204E+13,U,44534.00208,,951268.3284,1949395.891,,,,,
3130000,3.13E+17,20070418,,1,영업/정상,0,정상,,,,,02-375-7222,0,,서울특별시 마포구 상암동 34-46,서울특별시 마포구 월드컵북로 336 (상암동),3930,상암동물병원,2.02204E+13,U,44534.00208,,946476.6925,1952830.468,,,,,
3130000,3.13E+17,20040604,,1,영업/정상,0,정상,,,,,02-323-7582,0,,서울특별시 마포구 동교동 174-14,서울특별시 마포구 신촌로 16 (동교동),4056,마리동물병원,2.02204E+13,U,44534.00208,,949416.3787,1950811.109,,,,,
3200000,3.2E+17,20030703,,1,영업/정상,0,정상,,,,,02-837-8875,0,,서울특별시 관악구 신림동 564-3,서울특별시 관악구 남부순환로 1429 (신림동),8766,러브펫종합동물병원,2.02204E+13,U,44533.96181,,947726.9174,1942297.806,,,,,
3130000,3.13E+17,20220502,,1,영업/정상,0,정상,,,,,0507-1350-7229,0,,서울특별시 마포구 신수동 462 신촌숲아이파크,서울특별시 마포구 광성로 17 상가동 135 136호 (신수동 신촌숲아이파크),4094,신촌 숲 동물병원,2.02206E+13,U,44535.875,,950016.6201,1949920.583,,,,,
3030000,3.03E+17,20070725,,1,영업/정상,0,정상,,,,,02-3395-7975,240,,서울특별시 성동구 행당동 318-36,서울특별시 성동구 고산자로 207 (행당동),4714,24시센트럴동물메디컬센터,2.02206E+13,U,44535.875,,958743.8849,1950833.799,,,,,
3130000,3.13E+17,20000211,,1,영업/정상,0,정상,,,,,02-325-2026,0,,서울특별시 마포구 합정동 411-18,서울특별시 마포구 독막로 45 (합정동),4047,홍익동물종합병원,2.02204E+13,U,44534.00208,,948552.5007,1949716.57,,,,,
3050000,3.05E+17,19990414,,1,영업/정상,0,정상,,,,,02-2214-6129,0,,서울특별시 동대문구 답십리동 250-1,서울특별시 동대문구 전농로 77(답십리동),2599,그랜드동물병원,2.02204E+13,U,44535.00069,,960818.4322,1952279.923,,,,,
3170000,3.17E+17,20170328,,1,영업/정상,0,정상,,,,,02-808-2475,129.6,,서울특별시 금천구 시흥동 999-1,서울특별시 금천구 시흥대로 251 (시흥동 도일산호시티빌),8614,금천 24시 K동물의료센터,2.02206E+13,U,44537.00139,,946822.0601,1939522.556,,,,,
3070000,3.07E+17,20090414,,1,영업/정상,0,정상,,,,,953-0075,1189.18,,서울특별시 성북구 동소문동6가 3-1 1층,서울특별시 성북구 동소문로 73 1층 (동소문동6가 시티플레이스),2830,VIP 동물의료센터,2.02207E+13,U,44537.00417,,956973.5588,1954574.072,,,,,
3240000,3.24E+17,20220630,,1,영업/정상,0,정상,,,,,02-6949-2475,0,,서울특별시 강동구 성내동 549-1 씨네월드,서울특별시 강동구 성내로 48 씨네월드 1층 (성내동),5399,더파크동물의료센터,2.02207E+13,U,44537.00486,,966808.1976,1947452.681,,,,,
3010000,3.01E+17,20190801,,1,영업/정상,0,정상,,,,,02-6956-7502,0,,서울특별시 중구 을지로5가 133-1 뉴천지관광호텔,서울특별시 중구 을지로38길 20 뉴천지관광호텔 1층 (을지로5가),4561,헬릭스동물암센터,2.02207E+13,U,44537.00486,,956067.9494,1951646.92,,,,,
3010000,3.01E+17,20020810,,1,영업/정상,0,정상,,,,,2256-8275,0,,서울특별시 중구 신당동 844 남산타운,서울특별시 중구 다산로 32 5상가동 217호 (신당동 남산타운),4595,남산동물병원,2.02207E+13,U,44537.00486,,956582.2606,1949772.424,,,,,
3010000,3.01E+17,20011226,,1,영업/정상,0,정상,,,,,2233-7574,242.41,,서울특별시 중구 신당동 368-19,서울특별시 중구 다산로 107 2층 (신당동),4598,미래지동물의료센터,2.02207E+13,U,44537.00486,,956617.65,1950287.009,,,,,
3010000,3.01E+17,19950802,,1,영업/정상,0,정상,,,,,2263-6134,0,,서울특별시 중구 충무로4가 93-1,서울특별시 중구 퇴계로 227 (충무로4가),4558,대한동물병원,2.02207E+13,U,44537.00486,,955495.678,1951225.729,,,,,
3050000,3.05E+17,20220426,,1,영업/정상,0,정상,,,,,262170202,,,서울특별시 동대문구 답십리동 259-22,서울특별시 동대문구 전농로 57-1 동대문 루시드 동물메디컬센터 (답십리동),2600,동대문 루시드 동물메디컬센터,2.02204E+13,I,44533.92222,,960801.5093,1952093.873,,,,,
3090000,3.09E+17,20220427,,1,영업/정상,0,정상,,,,,907-7512,46.02,,서울특별시 도봉구 쌍문동 262-10 104호,서울특별시 도봉구 시루봉로 59 104호 (쌍문동),1375,사랑해요동물병원,2.02204E+13,I,44533.92292,,958270.937,1961654.964,,,,,
3200000,3.2E+17,20220427,,1,영업/정상,0,정상,,,,,,,,서울특별시 관악구 봉천동 300-17 관악구재향군인회,서울특별시 관악구 낙성대로 32 관악구재향군인회 301호 (봉천동),8790,닥터펫보리 특수클리닉,2.02204E+13,I,44533.92292,,952073.4109,1941659.261,,,,,
3220000,3.22E+17,20220427,,1,영업/정상,0,정상,,,,,02-797-4408,178.35,,서울특별시 강남구 역삼동 827-67,서울특별시 강남구 테헤란로8길 46 2층 (역삼동),6240,동물치과병원메이,2.02204E+13,I,44533.92292,,958579.7973,1943865.174,,,,,
3010000,3.01E+17,19950512,,1,영업/정상,0,정상,,,,,2278-0075,0,,서울특별시 중구 묵정동 32-1,서울특별시 중구 퇴계로 254-1 (묵정동),4619,황동물병원,2.02207E+13,U,44537.00486,,955770.8662,1951258.723,,,,,
3230000,3.23E+17,20220629,,1,영업/정상,0,정상,,,,,02-6953-7587,32.66,,서울특별시 송파구 잠실동 27 잠실주공아파트,서울특별시 송파구 송파대로 567 상가동 1층 106호 (잠실동 잠실주공아파트),5503,잠실동물병원,2.02207E+13,U,44536.96042,,964126.3415,1945989.849,,,,,
3020000,3.02E+17,20180514,,1,영업/정상,0,정상,,,,,02-797-1275,73,,서울특별시 용산구 한강로3가 63-389 용산시티파크1단지 101동 101호,서울특별시 용산구 서빙고로 35 101동 101호 (한강로3가 용산시티파크1단지),4385,워너비동물병원 용산점,2.02204E+13,U,44533.875,,953021.9351,1947139.898,,,,,
3010000,3.01E+17,19900925,,1,영업/정상,0,정상,,,,,2274-8558,0,,서울특별시 중구 필동2가 53,서울특별시 중구 퇴계로 226 (필동2가),4624,윤신근박사동물병원,2.02207E+13,U,44537.00486,,955492.2746,1951177.782,,,,,
3000000,3E+17,19990423,,1,영업/정상,0,정상,,,,,379-7575,0,,서울특별시 종로구 신영동 1-11,서울특별시 종로구 진흥로 477-1 (신영동),3007,월드펫동물병원,2.02207E+13,U,44536.96042,,952337.6021,1956124.795,,,,,
3000000,3E+17,20200517,,1,영업/정상,0,정상,,,,,02-733-6030,326.5,,서울특별시 종로구 신교동 70-10번지,서울특별시 종로구 자하문로 95 신교빌딩 1층 (신교동),3032,선동물병원,2.02005E+13,I,43970.01619,,953132.9675,1953722.888,동물병원,,,0,
3000000,3E+17,20011211,,1,영업/정상,0,정상,,,,,02-744-9098,0,,서울특별시 종로구 창신동 80-1,서울특별시 종로구 지봉로 53-1 (창신동),,해동물병원,2.02011E+13,U,44152.11111,,957147.4873,1952641.784,동물병원,,,0,
3000000,3E+17,20021025,,1,영업/정상,0,정상,,,,,391-4575,46.22,,서울특별시 종로구 홍지동 127-7번지 5통5반 지층 3호,서울특별시 종로구 자하문로 293 (홍지동),3021,북악동물병원,2.01904E+13,U,43586.11111,,952283.0769,1955329.523,동물병원,,,0,
3000000,3E+17,20060327,,1,영업/정상,0,정상,,,,,3917502,0,,서울특별시 종로구 홍지동 126-8번지,서울특별시 종로구 자하문로 305 (홍지동),,올리브동물병원,2.01709E+13,I,43343.99999,,952171.4276,1955373.818,동물병원,,,0,
3000000,3E+17,20080306,,1,영업/정상,0,정상,,,,,3676-1190,42.58,,서울특별시 종로구 숭인동 52-8번지,서울특별시 종로구 지봉로 96-3 (숭인동),,우리동물병원,2.00803E+13,I,43343.99999,,957161.436,1953063.793,동물병원,,,0,
3000000,3E+17,20090708,,1,영업/정상,0,정상,,,,,02-735-7530,45,,서울특별시 종로구 내자동 125-3번지,서울특별시 종로구 사직로12길 2 (내자동),,누리봄동물병원,2.00907E+13,I,43343.99999,,953223.2744,1952761.849,동물병원,,,0,
3000000,3E+17,20160211,,1,영업/정상,0,정상,,,,,722-8275,0,,서울특별시 종로구 통인동 147-7 씨에스코즈빌,서울특별시 종로구 자하문로 35-3 씨에스코즈빌 101호 (통인동),3040,광화문동물병원,2.02007E+13,U,44045.11111,,953234.0394,1953122.328,동물병원,,,0,
3000000,3E+17,20171116,,1,영업/정상,0,정상,,,,,,0,,서울특별시 종로구 홍파동 42-13 경희궁자이 2단지 상가동 2229호,서울특별시 종로구 송월길 99 상가동 2층 2229호 (홍파동 경희궁자이 2단지),3165,경희궁 바른 동물병원,2.02104E+13,U,44296.11111,,952557.6873,1952268.983,동물병원,,,0,
3000000,3E+17,19950905,,1,영업/정상,0,정상,,,,,3672-8441,53.7,,서울특별시 종로구 명륜2가 5-99번지 1통3반 방산빌라 402호,서울특별시 종로구 창경궁로 261 (명륜2가),3075,대학로동물병원,2.01904E+13,U,43586.11111,,955800.3315,1953730.154,동물병원,,,0,
3010000,3.01E+17,20110330,,1,영업/정상,0,정상,,,,,2256-7582,46.2,,서울특별시 중구 신당동 373-64번지,서울특별시 중구 동호로 178 (신당동),4590,웰펫동물병원,2.01903E+13,U,43532.11111,,956780.121,1950359.16,동물병원,,,0,0
3010000,3.01E+17,20160211,,1,영업/정상,0,정상,,,,,02-2232-7975,67.91,,서울특별시 중구 황학동 2523 황학 아크로타워,서울특별시 중구 퇴계로 447 1층 131호 (황학동 황학 아크로타워),4575,바른동물병원,2.02007E+13,U,44030.11111,,957707.5347,1951670.26,동물병원,,,0,0
3010000,3.01E+17,20110630,,1,영업/정상,0,정상,,,,,02-393-7588,0,,서울특별시 중구 만리동2가 288번지 서울역한라비발디센트럴,서울특별시 중구 만리재로 177 105호 (만리동2가 서울역한라비발디센트럴),4501,백슬동물병원,2.01903E+13,U,43532.11111,,952742.3562,1950387.688,동물병원,,,0,0
3010000,3.01E+17,20190401,,1,영업/정상,0,정상,,,,,02-2232-9702,144,,서울특별시 중구 신당동 353-130,서울특별시 중구 다산로 83-1 3층 (신당동),4599,애니컴 메디컬센터,2.02106E+13,U,44364.11111,,956474.1206,1950112.545,동물병원,,,0,0
3010000,3.01E+17,20190513,,1,영업/정상,0,정상,,,,,02-2038-7555,91,,서울특별시 중구 신당동 102-6번지,서울특별시 중구 다산로 230 하나빌딩 1층 (신당동),4585,메종동물병원,2.01905E+13,I,43600.09793,,957181.9148,1951376.399,동물병원,,,0,0
3010000,3.01E+17,20190620,,1,영업/정상,0,정상,,,,,02-2234-7585,52.89,,서울특별시 중구 황학동 2545번지 롯데캐슬베네치아,서울특별시 중구 청계천로 400 지하 1층 (황학동 롯데캐슬베네치아),4572,웰니스클리닉(청계천점),2.0191E+13,U,43769.11111,,957668.258,1952203.756,동물병원,,,0,0
3010000,3.01E+17,20190801,,1,영업/정상,0,정상,,,,,02-6965-7502,0,,서울특별시 중구 을지로5가 133-1번지 뉴천지관광호텔,서울특별시 중구 을지로38길 20 뉴천지관광호텔 2층 (을지로5가),4561,헬릭스동물심장수술센터,2.02006E+13,U,43986.11111,,956067.9494,1951646.92,동물병원,,,0,0
3010000,3.01E+17,19920212,,1,영업/정상,0,정상,,,,,2237-3366,306,,서울특별시 중구 신당동 336-3 명덕빌딩,서울특별시 중구 다산로 175 명덕빌딩 (신당동),4608,바우미우동물병원,2.02207E+13,U,44537.00486,,956902.712,1950911.203,,,,,
3010000,3.01E+17,20190801,,1,영업/정상,0,정상,,,,,02-6956-7502,,,서울특별시 중구 을지로5가 133-1번지 뉴천지관광호텔,서울특별시 중구 을지로38길 20 뉴천지관광호텔 1층 (을지로5가),4561,서울동물영상종양센터,2.02006E+13,U,43986.11111,,956067.9494,1951646.92,동물병원,,,0,0
3010000,3.01E+17,20211117,,1,영업/정상,0,정상,,,,,,,,서울특별시 중구 신당동 855 신당 파인힐 하나유보라,서울특별시 중구 왕십리로 407 B1-1호 (신당동 신당 파인힐 하나유보라),4580,24시SD동물영상의료센터,2.02111E+13,I,44519.01579,,957968.4186,1951460.069,동물병원,,,0,0
3010000,3.01E+17,20211117,,1,영업/정상,0,정상,,,,,02-2039-0303,0,,서울특별시 중구 신당동 855 신당 파인힐 하나유보라,서울특별시 중구 왕십리로 407 신당 파인힐 하나유보라 B1층 030405호 (신당동 신당 파인힐 하나유보라),4580,24시SD동물의료센터성동,2.02201E+13,U,44569.11111,,957968.4186,1951460.069,동물병원,,,0,0
3010000,3.01E+17,20200625,,1,영업/정상,0,정상,,,,,02-2253-2233,,,서울특별시 중구 황학동 1596,서울특별시 중구 난계로 197 124층 (황학동),4574,웰튼동물의료센터,2.02006E+13,U,44013.11111,,957829.0129,1951995.745,동물병원,,,0,0
3020000,3.02E+17,20110126,,1,영업/정상,0,정상,,,,,713-0053,32.4,,서울특별시 용산구 원효로1가 133-3번지 리첸시아 용산 A동 106호,서울특별시 용산구 백범로 341 A동 지상1층 106호 (원효로1가 리첸시아 용산),4315,엉클장동물병원,2.01903E+13,U,43532.11111,,952872.7636,1948601.314,동물병원,,,0,
3020000,3.02E+17,20050624,,1,영업/정상,0,정상,,,,,792-7602,107.5,,서울특별시 용산구 이태원동 21-1 태광빌딩 1층,서울특별시 용산구 보광로 90 태광빌딩 1층 (이태원동),4406,청화종합동물병원,2.02006E+13,U,44014.11111,,955383.4321,1947792.207,동물병원,,,0,
3020000,3.02E+17,20051104,,1,영업/정상,0,정상,,,,,795-2184,36.19,,서울특별시 용산구 한남동 653-26번지,서울특별시 용산구 대사관로 32 (한남동),4403,펫토이동물병원,2.01903E+13,U,43532.11111,,955902.0298,1948055.787,동물병원,,,0,
3020000,3.02E+17,20021223,,1,영업/정상,0,정상,,,,,778-7582,51.4,,서울특별시 용산구 후암동 63-1번지 지상1층,서울특별시 용산구 후암로 51 지상1층 (후암동),4325,남산동물병원,2.01903E+13,U,43532.11111,,953741.0327,1949952.55,동물병원,,,0,
3020000,3.02E+17,20021223,,1,영업/정상,0,정상,,,,,711-4527,0,,서울특별시 용산구 효창동 70-11번지,서울특별시 용산구 백범로 293 (효창동),4317,효창동물병원,2.01903E+13,U,43532.11111,,952389.6091,1948719.738,동물병원,,,0,
3020000,3.02E+17,20190419,,1,영업/정상,0,정상,,,,,02-719-8275,,,서울특별시 용산구 청파동2가 90-20번지 지상1층,서울특별시 용산구 청파로47길 16 지상1층 (청파동2가),4309,원스동물병원,2.01904E+13,I,43576.09753,,953064.9273,1949344.027,동물병원,,,0,
3020000,3.02E+17,20210423,,1,영업/정상,0,정상,,,,,02-6956-2280,148.05,,서울특별시 용산구 한남동 737-4 1층,서울특별시 용산구 이태원로 227 1층 (한남동),4349,더벳한남동물병원,2.02104E+13,U,44318.11111,,955650.8244,1948296.405,동물병원,,,0,
