"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"14","동물위탁관리업","02_03_10_P","4690000","469000004820180002","20180709","","01","영업/정상","0000","정상","","","","","063-538-8909","0","","전라북도 정읍시 수성동 ***-**","전라북도 정읍시 초산로 **, *층 (수성동)","56163","Lucky 애견샵","20220428181155","I","2022-07-02 17:34:28.0","","186801.165041","229603.85768","동물위탁관리업","동물위탁관리업","000","0",
"15","동물위탁관리업","02_03_10_P","4690000","469000004820180003","20180912","","01","영업/정상","0000","정상","","","","","063-534-8231","0","","전라북도 정읍시 수성동 ***-**","전라북도 정읍시 충정로 ***-** (수성동)","56163","더펫","20220428181155","I","2022-07-02 17:34:28.0","","186592.404919","230056.382125","동물위탁관리업","동물위탁관리업","000","0",
"16","동물위탁관리업","02_03_10_P","4690000","469000004820180007","20181019","","01","영업/정상","0000","정상","","","","","063-533-5556","0","","전라북도 정읍시 연지동 **-**","전라북도 정읍시 중앙로 ** (연지동)","56161","꼬마애견샵","20220428181155","I","2022-07-02 17:34:28.0","","186192.233784","230101.362648","동물위탁관리업","동물위탁관리업","000","0",
"17","동물위탁관리업","02_03_10_P","4810000","481000004820210002","20210209","","01","영업/정상","0000","정상","","","","","061-642-9642","0","","전라남도 여수시 서교동 ***","전라남도 여수시 신월로 ***, *층 (서교동)","59755","하얀강아지","20220428181142","I","2022-07-02 17:34:28.0","","266436.729231","138173.743646","동물위탁관리업","동물위탁관리업","000","0",
"18","동물위탁관리업","02_03_10_P","4810000","481000004820210004","20210511","","01","영업/정상","0000","정상","","","","","","0","","전라남도 여수시 소호동 ***-*","전라남도 여수시 소호로 ***, *층 (소호동)","59666","땡큐멍냥","20220428181143","I","2022-07-02 17:34:28.0","","259667.401686","138677.843912","동물위탁관리업","동물위탁관리업","000","0",
"19","동물위탁관리업","02_03_10_P","4810000","481000004820210006","20210620","","01","영업/정상","0000","정상","","","","","061-686-1113","0","","전라남도 여수시 학동 ***-* *층","전라남도 여수시 선소로 **, *층 (학동)","59689","멍토피아","20220428181144","I","2022-07-02 17:34:28.0","","260929.041626","140041.465608","동물위탁관리업","동물위탁관리업","000","0",
"20","동물위탁관리업","02_03_10_P","4810000","481000004820210007","20211015","","01","영업/정상","0000","정상","","","","","654-5523","0","","전라남도 여수시 여서동 ***-*","전라남도 여수시 여문문화길 **, *층 (여서동)","59708","개꿀잠","20220523091407","U","2022-07-02 17:34:28.0","","264233.183351","139525.308073","동물위탁관리업","동물위탁관리업","000","0",
"21","동물위탁관리업","02_03_10_P","4810000","481000004820210008","20211019","","01","영업/정상","0000","정상","","","","","","0","","전라남도 여수시 화장동 ***-**","전라남도 여수시 화산*길 **-*(화장동)","59643","늘 너에개","20220428181146","I","2022-07-02 17:34:28.0","","258696.474909","141538.909946","동물위탁관리업","동물위탁관리업","000","0",
"22","동물위탁관리업","02_03_10_P","4810000","481000004820220001","20220513","","01","영업/정상","0000","정상","","","","","","0","","전라남도 여수시 학동 ***-*","전라남도 여수시 선소로 **, *층 (학동)","59689","멍토피아","20220513102521","I","2022-07-02 17:34:28.0","","260929.041626","140041.465608","동물위탁관리업","동물위탁관리업","000","0",
"23","동물위탁관리업","02_03_10_P","4890000","489000004820210003","20210914","","01","영업/정상","0000","정상","","","","","061-857-5559","0","","전라남도 보성군 벌교읍 벌교리 ***-*","전라남도 보성군 벌교읍 시장*길 **","59425","펫블리","20220428181051","I","2022-07-02 17:34:28.0","","231564.263978","149534.889875","동물위탁관리업","동물위탁관리업","000","0",
"24","동물위탁관리업","02_03_10_P","5110000","511000004820180011","20181220","","01","영업/정상","0000","정상","","","","","","0","","경상북도 상주시 화남면 중눌리 **","경상북도 상주시 화남면 원정소곡로 ***, *호","37141","두들랜드","20220428180952","I","2022-07-02 17:34:28.0","","280246.004152198","323309.584045191","동물위탁관리업","동물위탁관리업","000","0",
"25","동물위탁관리업","02_03_10_P","5220000","522000004820180021","20180521","","01","영업/정상","0000","정상","","","","","","0","","경상북도 칠곡군 석적읍 남율리 ***","경상북도 칠곡군 석적읍 석적로 ***","39843","펫스타일","20220428180829","I","2022-07-02 17:34:28.0","","325452.210178226","286850.31515458","동물위탁관리업","동물위탁관리업","000","0",
"26","동물위탁관리업","02_03_10_P","5220000","522000004820180024","20180611","","01","영업/정상","0000","정상","","","","","","0","","경상북도 칠곡군 석적읍 중리 ***-*","경상북도 칠곡군 석적읍 남구미로 ***","39842","나비야놀자","20220428180829","I","2022-07-02 17:34:28.0","","325733.678441594","287934.626034869","동물위탁관리업","동물위탁관리업","000","0",
"27","동물위탁관리업","02_03_10_P","5220000","522000004820180026","20180618","","01","영업/정상","0000","정상","","","","","","0","","경상북도 칠곡군 왜관읍 석전리 ***","경상북도 칠곡군 왜관읍 석전로*길 *, 대화아파트 상가동 *층","39874","멍이","20220428180830","I","2022-07-02 17:34:28.0","","327089.762850362","278780.234485418","동물위탁관리업","동물위탁관리업","000","0",
"28","동물위탁관리업","02_03_10_P","5220000","522000004820180029","20180821","","01","영업/정상","0000","정상","","","","","054-975-4466","0","","경상북도 칠곡군 석적읍 중리 ***-*","경상북도 칠곡군 석적읍 장곡길 ***","39837","펫매니저","20220428180831","I","2022-07-02 17:34:28.0","","327199.984298489","287010.381725505","동물위탁관리업","동물위탁관리업","000","0",
"29","동물위탁관리업","02_03_10_P","5220000","522000004820180033","20180831","","01","영업/정상","0000","정상","","","","","","0","","경상북도 칠곡군 왜관읍 왜관리 ***-**","경상북도 칠곡군 왜관읍 자조*길 **","39905","미미애견","20220428180831","I","2022-07-02 17:34:28.0","","325939.273587282","276627.608014034","동물위탁관리업","동물위탁관리업","000","0",
"30","동물위탁관리업","02_03_10_P","5220000","522000004820180035","20180917","","01","영업/정상","0000","정상","","","","","054-920-7787","0","","경상북도 칠곡군 북삼읍 인평리 ****-*","경상북도 칠곡군 북삼읍 금오대로*길 *","39812","김스애견#","20220428180831","I","2022-07-02 17:34:28.0","","321286.661926643","286347.629776906","동물위탁관리업","동물위탁관리업","000","0",
"31","동물위탁관리업","02_03_10_P","5220000","522000004820180036","20181019","","01","영업/정상","0000","정상","","","","","","0","","경상북도 칠곡군 북삼읍 보손리 ***-*","경상북도 칠곡군 북삼읍 칠곡대로 ***-**","39803","베스트독스","20220428180831","I","2022-07-02 17:34:28.0","","318108.185478837","284608.984408171","동물위탁관리업","동물위탁관리업","000","0",
"32","동물위탁관리업","02_03_10_P","5220000","522000004820180041","20181210","","01","영업/정상","0000","정상","","","","","","0","","경상북도 칠곡군 동명면 구덕리 ***","경상북도 칠곡군 동명면 구남로 **","39856","대구애견스쿨","20220428180832","I","2022-07-02 17:34:28.0","","341958.66459788","277493.767607234","동물위탁관리업","동물위탁관리업","000","0",
"33","동물위탁관리업","02_03_10_P","5220000","522000004820190001","20190117","","01","영업/정상","0000","정상","","","","","","0","","경상북도 칠곡군 왜관읍 아곡리 **","","","프렌드","20220428180832","I","2022-07-02 17:34:28.0","","329081.472156762","278402.254633359","동물위탁관리업","동물위탁관리업","000","0",
"34","동물위탁관리업","02_03_10_P","5220000","522000004820190003","20190404","","01","영업/정상","0000","정상","","","","","","0","","경상북도 칠곡군 북삼읍 인평리 ****-*","경상북도 칠곡군 북삼읍 금오대로*길 *-**","39814","새침하개멍","20220428180832","I","2022-07-02 17:34:28.0","","321238.327004078","285971.874899988","동물위탁관리업","동물위탁관리업","000","0",
"35","동물위탁관리업","02_03_10_P","5220000","522000004820190004","20190405","","01","영업/정상","0000","정상","","","","","","0","","경상북도 칠곡군 왜관읍 매원리 ***-*","경상북도 칠곡군 왜관읍 아곡*길 **","39870","Companion","20220428180832","I","2022-07-02 17:34:28.0","","328671.852514592","278399.369001911","동물위탁관리업","동물위탁관리업","000","0",
"36","동물위탁관리업","02_03_10_P","5220000","522000004820190007","20190419","","01","영업/정상","0000","정상","","","","","","0","","경상북도 칠곡군 북삼읍 인평리 ****-*","경상북도 칠곡군 북삼읍 금오대로 ***, *층","39813","모모랜드","20220428180832","I","2022-07-02 17:34:28.0","","321368.866153482","286333.89853337","동물위탁관리업","동물위탁관리업","000","0",
"37","동물위탁관리업","02_03_10_P","5220000","522000004820190016","20191214","","01","영업/정상","0000","정상","","","","","054-971-1939","0","","경상북도 칠곡군 왜관읍 왜관리 ***-**","경상북도 칠곡군 왜관읍 중앙로 ***, *층층 전체호","39895","펫리움","20220428180833","I","2022-07-02 17:34:28.0","","326097.270529958","277350.493804593","동물위탁관리업","동물위탁관리업","000","0",
"38","동물위탁관리업","02_03_10_P","5220000","522000004820200003","20200113","","01","영업/정상","0000","정상","","","","","","0","","경상북도 칠곡군 왜관읍 왜관리 ***-**","경상북도 칠곡군 왜관읍 *번도로길 **, *층","39891","애견나라","20220428180833","I","2022-07-02 17:34:28.0","","325968.436231386","277788.827157808","동물위탁관리업","동물위탁관리업","000","0",
"39","동물위탁관리업","02_03_10_P","5220000","522000004820200008","20200520","","01","영업/정상","0000","정상","","","","","","0","","경상북도 칠곡군 석적읍 중리 ***-*","경상북도 칠곡군 석적읍 북중리**길 **","39836","왕짱애견유치원","20220428180833","I","2022-07-02 17:34:28.0","","327105.664140125","287250.870302105","동물위탁관리업","동물위탁관리업","000","0",
"40","동물위탁관리업","02_03_10_P","5220000","522000004820210002","20210304","","01","영업/정상","0000","정상","","","","","","0","","경상북도 칠곡군 북삼읍 인평리 ***-*","경상북도 칠곡군 북삼읍 인평*길 **, *층","39808","캣프렌드","20220428180834","I","2022-07-02 17:34:28.0","","320793.976079521","285518.068467447","동물위탁관리업","동물위탁관리업","000","0",
"41","동물위탁관리업","02_03_10_P","5220000","522000004820210004","20210719","","01","영업/정상","0000","정상","","","","","","0","","경상북도 칠곡군 왜관읍 매원리 ***","경상북도 칠곡군 왜관읍 봉계로 ***","39870","왈가왈부 애견유치원","20220428180835","I","2022-07-02 17:34:28.0","","330373.785522814","278027.492775616","동물위탁관리업","동물위탁관리업","000","0",
"42","동물위탁관리업","02_03_10_P","5220000","522000004820220002","20220112","","01","영업/정상","0000","정상","","","","","","0","","경상북도 칠곡군 석적읍 중리 **-*","경상북도 칠곡군 석적읍 북중리*길 **, *층","39839","캣다방","20220428180835","I","2022-07-02 17:34:28.0","","327013.584807843","287422.347623863","동물위탁관리업","동물위탁관리업","000","0",
"43","동물위탁관리업","02_03_10_P","5220000","522000004820220003","20220610","","01","영업/정상","0000","정상","","","","","","0","","경상북도 칠곡군 약목면 관호리 ***-**","경상북도 칠곡군 약목면 관호*길 *","39830","산책가까","20220610114227","I","2022-07-02 17:34:28.0","","325154.180420076","278876.557769523","동물위탁관리업","동물위탁관리업","000","0",
"44","동물위탁관리업","02_03_10_P","5340000","534000004820180005","20180911","","01","영업/정상","0000","정상","","","","","","0","","경상남도 사천시 벌리동 **-**","경상남도 사천시 중앙로 ***, *층 (벌리동)","52552","멍멍뷰티","20220428180932","I","2022-07-02 17:34:28.0","","298617.743770071","160914.986382758","동물위탁관리업","동물위탁관리업","000","0",
"45","동물위탁관리업","02_03_10_P","5710000","571000004820190009","20190221","","01","영업/정상","0000","정상","","","","","043-263-4688","0","","충청북도 청주시 서원구 남이면 외천리 **-*","충청북도 청주시 서원구 남이면 남이외천*길 **-**","28185","보스애견스쿨","20220428180906","I","2022-07-02 17:34:28.0","","238728.270935","339556.242001","동물위탁관리업","동물위탁관리업","000","0",
"46","동물위탁관리업","02_03_10_P","5710000","571000004820190012","20190304","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 흥덕구 가경동 **** 명인투플러스 ***호","충청북도 청주시 흥덕구 풍년로 **, 명인투플러스 ***호 (가경동)","28413","CAT TALK","20220428180906","I","2022-07-02 17:34:28.0","","239383.888404","346184.453277","동물위탁관리업","동물위탁관리업","000","0",
"47","동물위탁관리업","02_03_10_P","5710000","571000004820190014","20190311","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 청원구 오창읍 양청리 ***-* 비전프라자 ***호","충청북도 청주시 청원구 오창읍 중심상업로 **, 비전프라자 ***호","28120","몽이네 맡겨보시개","20220428180907","I","2022-07-02 17:34:28.0","","238277.017583","356929.122596","동물위탁관리업","동물위탁관리업","000","0",
"48","동물위탁관리업","02_03_10_P","5710000","571000004820190015","20190312","","01","영업/정상","0000","정상","","","","","043-212-1169","0","","충청북도 청주시 청원구 오창읍 양청리 ***-*","충청북도 청주시 청원구 오창읍 중심상업*로 **-**","28120","스텐다드 도그","20220428180907","I","2022-07-02 17:34:28.0","","238155.712821","357170.411915","동물위탁관리업","동물위탁관리업","000","0",
"49","동물위탁관리업","02_03_10_P","5710000","571000004820190019","20190327","","01","영업/정상","0000","정상","","","","","043-262-8114","0","","충청북도 청주시 서원구 사직동 ***-*","충청북도 청주시 서원구 호국로 ** (사직동)","28651","개와고양이","20220428180908","I","2022-07-02 17:34:28.0","","242539.96723","348352.076322","동물위탁관리업","동물위탁관리업","000","0",
"50","동물위탁관리업","02_03_10_P","5710000","571000004820190020","20190329","","01","영업/정상","0000","정상","","","","","043-215-3223","0","","충청북도 청주시 청원구 내덕동 ***-*","충청북도 청주시 청원구 상당로 ***-*(내덕동)","28489","복슬강아지","20220428180908","I","2022-07-02 17:34:28.0","","243615.091471","350330.045551","동물위탁관리업","동물위탁관리업","000","0",
"51","동물위탁관리업","02_03_10_P","5710000","571000004820190024","20190415","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 흥덕구 옥산면 장동리 ***","충청북도 청주시 흥덕구 옥산면 금계장동로 ***-**","28103","용자산 캠프","20220428180909","I","2022-07-02 17:34:28.0","","226582.752736","355004.946862","동물위탁관리업","동물위탁관리업","L00","0",
"52","동물위탁관리업","02_03_10_P","5710000","571000004820190027","20190429","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 흥덕구 운천동 ****","충청북도 청주시 흥덕구 직지대로***번길 *, *층 (운천동)","28470","청주고양이입양지원센터 애니멀공화국","20220428180909","I","2022-07-02 17:34:28.0","","242545.426191","349414.935724","동물위탁관리업","동물위탁관리업","L00","0",
"53","동물위탁관리업","02_03_10_P","5710000","571000004820190033","20190625","","01","영업/정상","0000","정상","","","","","070-8864-5959","0","","충청북도 청주시 흥덕구 가경동 **** 가로수마을선광로즈웰아파트","충청북도 청주시 흥덕구 서현중로 **, 상가동동 ***호 (가경동, 가로수마을선광로즈웰아파트)","28379","네로","20220428180910","I","2022-07-02 17:34:28.0","","238352.334365","346937.157864","동물위탁관리업","동물위탁관리업","000","0",
"54","동물위탁관리업","02_03_10_P","5710000","571000004820190034","20190702","","01","영업/정상","0000","정상","","","","","043-212-7516","0","","충청북도 청주시 청원구 율량동 **** *층","충청북도 청주시 청원구 율량로***번길 **-*, *층 (율량동)","28320","돌봄","20220428180910","I","2022-07-02 17:34:28.0","","244348.517273","351680.368221","동물위탁관리업","동물위탁관리업","000","0",
"55","동물위탁관리업","02_03_10_P","5710000","571000004820190035","20190708","","01","영업/정상","0000","정상","","","","","043-288-5188","0","","충청북도 청주시 상당구 용암동 **** 건영아파트","충청북도 청주시 상당구 월평로 ***, 건영아파트 ***호 (용암동)","28773","미스터 그루밍","20220428180910","I","2022-07-02 17:34:28.0","","244991.917701","345849.684393","동물위탁관리업","동물위탁관리업","000","0",
"56","동물위탁관리업","02_03_10_P","5710000","571000004820190038","20190729","","01","영업/정상","0000","정상","","","","","043-213-9998","0","","충청북도 청주시 상당구 금천동 ***-*","충청북도 청주시 상당구 쇠내로 ***, *층 ***호 (금천동)","28740","구름이 하우스","20220428180911","I","2022-07-02 17:34:28.0","","245276.457905","346837.237437","동물위탁관리업","동물위탁관리업","000","0",
"57","동물위탁관리업","02_03_10_P","5710000","571000004820190039","20190816","","01","영업/정상","0000","정상","","","","","043-900-2059","0","","충청북도 청주시 흥덕구 복대동 **** 상가*동 *호","충청북도 청주시 흥덕구 복대로 ***, 상가*동 *층 *호 (복대동)","28606","멍이랑","20220428180911","I","2022-07-02 17:34:28.0","","239497.68186","347383.194046","동물위탁관리업","동물위탁관리업","000","0",
"58","동물위탁관리업","02_03_10_P","5710000","571000004820190045","20190909","","01","영업/정상","0000","정상","","","","","043-900-0733","0","","충청북도 청주시 흥덕구 송절동 *** ***호","충청북도 청주시 흥덕구 송화로 ***, ***호 (송절동)","28292","개프탑라운지","20220428180911","I","2022-07-02 17:34:28.0","","","","동물위탁관리업","동물위탁관리업","000","0",
"59","동물위탁관리업","02_03_10_P","5710000","571000004820190046","20190909","","01","영업/정상","0000","정상","","","","","","0","","충청북도 청주시 상당구 용암동 ****","충청북도 청주시 상당구 중흥로 ***, *층 (용암동)","28767","헤어볼하우스","20220428180912","I","2022-07-02 17:34:28.0","","245466.918208","346233.027609","동물위탁관리업","동물위탁관리업","000","0",
"60","동물위탁관리업","02_03_10_P","6520000","652000004820200009","20200815","","01","영업/정상","0000","정상","","","","","064-792-4877","0","","제주특별자치도 서귀포시 안덕면 서광리 ****-*","제주특별자치도 서귀포시 안덕면 화순서서로 ***","63521","펫소풍","20220428181159","I","2022-07-02 17:34:28.0","","135162.638088","-23461.2136352","동물위탁관리업","동물위탁관리업","000","0",
"61","동물위탁관리업","02_03_10_P","6520000","652000004820200010","20201018","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 서귀포시 대정읍 신도리 *","제주특별자치도 서귀포시 대정읍 칠전로 ***","63501","제주펫스쿨","20220428181200","I","2022-07-02 17:34:28.0","","127558.965722","-23021.1406476","동물위탁관리업","동물위탁관리업","000","0",
"62","동물위탁관리업","02_03_10_P","6520000","652000004820210002","20210203","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 서귀포시 강정동 ***-*","제주특별자치도 서귀포시 월드컵로 *** (강정동)","63564","해피멍멍이","20220428181200","I","2022-07-02 17:34:28.0","","153806.03886","-28315.4836303","동물위탁관리업","동물위탁관리업","000","0",
"63","동물위탁관리업","02_03_10_P","6520000","652000004820210003","20210203","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 서귀포시 안덕면 서광리 산 **","제주특별자치도 서귀포시 안덕면 신화역사로***번길 **","63522","주식회사애니멀고","20220428181200","I","2022-07-02 17:34:28.0","","136356.942322","-20780.8074936","동물위탁관리업","동물위탁관리업","L00","0",
"64","동물위탁관리업","02_03_10_P","6520000","652000004820210007","20210805","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 서귀포시 서홍동 **** 서강파인힐*차","제주특별자치도 서귀포시 홍중로 ***-*, ***동 ***호 (서홍동, 서강파인힐*차)","63584","도그앤캣","20220428181200","I","2022-07-02 17:34:28.0","","","","동물위탁관리업","동물위탁관리업","000","0",
"65","동물위탁관리업","02_03_10_P","6520000","652000004820220001","20220121","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 서귀포시 대정읍 구억리 ***-*","제주특별자치도 서귀포시 대정읍 중산간서로 ****, *층","63519","삐삐그루밍","20220428181200","I","2022-07-02 17:34:28.0","","133426.077284","-23703.0731228","동물위탁관리업","동물위탁관리업","000","0",
"66","동물위탁관리업","02_03_10_P","6520000","652000004820220002","20220310","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 서귀포시 대정읍 구억리 ***-**","제주특별자치도 서귀포시 대정읍 중산간서로 ****","63519","제주애견카페왈 구억점","20220428181200","I","2022-07-02 17:34:28.0","","134064.499783","-23840.2500999","동물위탁관리업","동물위탁관리업","000","0",
"67","동물위탁관리업","02_03_10_P","6520000","652000004820220003","20220310","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 서귀포시 토평동 ***-*","제주특별자치도 서귀포시 검은여로***번길 **(토평동)","63598","요람","20220428181200","I","2022-07-02 17:34:28.0","","161080.938981","-26888.672042","동물위탁관리업","동물위탁관리업","000","0",
"68","동물위탁관리업","02_03_10_P","6520000","652000004820220004","20220325","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 서귀포시 동홍동 ****","제주특별자치도 서귀포시 중앙로 ***-**, *층 (동홍동)","63585","아지트 포 독","20220428181200","I","2022-07-02 17:34:28.0","","158991.686574","-25912.2229029","동물위탁관리업","동물위탁관리업","000","0",
"69","동물위탁관리업","02_03_10_P","6520000","652000004820220005","20220511","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 서귀포시 서호동 ****-*","제주특별자치도 서귀포시 신동로 **, *층 (서호동)","63566","제주멍","20220511170319","I","2022-07-02 17:34:28.0","","154541.625217","-26865.8228125","동물위탁관리업","동물위탁관리업","000","0",
"70","동물위탁관리업","02_03_10_P","6520000","652000004820220006","20220617","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 서귀포시 성산읍 고성리 ****-* 성산일출봉농협 하나로마트","제주특별자치도 서귀포시 성산읍 일주동로 ****, 성산일출봉농협 하나로마트","63641","복슬강아지","20220617083610","I","2022-07-02 17:34:28.0","","191715.564494","-5557.94820191","동물위탁관리업","동물위탁관리업","000","0",
"71","동물위탁관리업","02_03_10_P","3550000","355000004820220001","20220706","","01","영업/정상","0000","정상","","","","","","0","","인천광역시 계양구 계산동 ***-** *층","인천광역시 계양구 계양대로 ***, *층 (계산동)","21054","댕댕, 자유롭개","20220706154048","I","2022-07-08 00:22:30.0","","175383.850406501","448447.898655598","동물위탁관리업","동물위탁관리업","000","0",
"72","동물위탁관리업","02_03_10_P","4520000","452000004820180007","20180416","","01","영업/정상","0000","정상","","","","","041-545-9978","0","","충청남도 아산시 배방읍 공수리 ***-** 토마토빌딩 *층 ***호","충청남도 아산시 배방읍 배방로 **-**, 토마토빌딩 *층 ***호","31486","애견미용실 꽃개","20220428181211","I","2022-07-02 17:34:28.0","","205078","363454","동물위탁관리업","동물위탁관리업","000","0",
"73","동물위탁관리업","02_03_10_P","4520000","452000004820180015","20180425","","01","영업/정상","0000","정상","","","","","041-547-7989","0","","충청남도 아산시 온천동 **-*","충청남도 아산시 외암로 **** (온천동)","31520","애견1번지","20220428181212","I","2022-07-02 17:34:28.0","","200876.88882100000","364582.92704500000","동물위탁관리업","동물위탁관리업","000","0",
