"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총종업원수",
"12","동물장묘업","02_03_05_P","4070000","407000003820170001","20170216","","01","영업/정상","0000","정상","","","","","031-635-2266","0","","경기도 이천시 마장면 장암리 525-1번지","경기도 이천시 마장면 이장로 329-2","17383","주식회사 아리아펫","20170302181748","I","2018-08-31 23:59:59.0","","234562.792371488","419797.301835013","동물장묘업","","L00","",
"13","동물장묘업","02_03_05_P","5590000","559000003820170001","20171108","","01","영업/정상","0000","정상","","","","","031-878-7779","0","","경기도 양주시 광적면 비암리 583-4번지","경기도 양주시 광적면 부흥로 145","11424","더고마워","20191209090829","U","2019-12-11 02:40:00.0","","193022.853667921","478521.552683613","동물장묘업","","L00","",
"14","동물장묘업","02_03_05_P","5400000","540000003820190001","20190726","","01","영업/정상","0000","정상","","","","","055-582-0042","0","","경상남도 함안군 법수면 대송리 10-7번지","경상남도 함안군 법수면 이묵골로 135-3","52056","한별 리멤버파크","20190726114646","I","2019-07-28 02:21:48.0","","323188.560032437","204898.191601719","동물장묘업","","L00","",
"15","동물장묘업","02_03_05_P","5380000","538000003820190001","20190719","","01","영업/정상","0000","정상","","","","","","0","","경상남도 양산시 상북면 상삼리 산 17-3번지","경상남도 양산시 상북면 공원로3길 19-91","50579","(주)펫노블레스","20190813172117","U","2019-08-15 02:40:00.0","","385281.144351949","215535.275042934","동물장묘업","","L00","",
"16","동물장묘업","02_03_05_P","5190000","519000003820150001","20150202","","01","영업/정상","0000","정상","","","","","","0","","경상북도 청도군 화양읍 송금리 83번지","경상북도 청도군 화양읍 남성현로 852","38323","하얀민들레","20180112102121","I","2018-08-31 23:59:59.0","","356111.798183277","247824.307052945","동물장묘업","","000","",
"17","동물장묘업","02_03_05_P","5080000","508000003820180001","20180524","","01","영업/정상","0000","정상","","","","","1588-9749","0","","경상북도 구미시 옥성면 농소리 산 75-3번지","경상북도 구미시 옥성면 이곡3길 69","39102","(주)더소울펫","20200603133911","U","2020-06-05 02:40:00.0","","314321.882034812","313583.261661319","동물장묘업","","L00","",
"18","동물장묘업","02_03_05_P","5600000","560000003820190001","20210713","","01","영업/정상","0000","정상","","","","","","0","","경기도 포천시 내촌면 진목리 225","경기도 포천시 내촌면 진금로 34","11190","스타펫","20211129101739","U","2021-12-01 02:40:00.0","","218645.692003776","479249.975347841","동물장묘업","","000","0",
"19","동물장묘업","02_03_05_P","3990000","399000003820190001","20191029","","01","영업/정상","0000","정상","","","","","1811-1995","0","","경기도 남양주시 화도읍 구암리 305","경기도 남양주시 화도읍 모꼬지로17번길 136","12192","몽몽이엠파크","20210331204910","U","2021-04-02 02:40:00.0","","232087.845770483","464372.289115107","동물장묘업","","L00","",
"20","동물장묘업","02_03_05_P","5130000","513000003820190001","20191223","","01","영업/정상","0000","정상","","","","","1522-6979","0","","경상북도 경산시 와촌면 신한리 산 54-8","경상북도 경산시 와촌면 불굴사길 82","38405","아이들랜드","20220214161750","U","2022-02-16 02:40:00.0","","361056.305199719","273993.033940784","동물장묘업","","L00","0",
"21","동물장묘업","02_03_05_P","3400000","340000003820140001","20141002","","01","영업/정상","0000","정상","","","","","051-723-2201","0","","부산광역시 기장군 장안읍 좌동리 49-1번지","부산광역시 기장군 장안읍 기장대로 1561-68","46029","파트라슈","20190604134338","U","2019-06-06 02:40:00.0","","403916.838552006","205680.057777747","동물장묘업","","000","",
"22","동물장묘업","02_03_05_P","3560000","356000003820200001","20200214","","01","영업/정상","0000","정상","","","","","","0","","인천광역시 서구 오류동 434-114","인천광역시 서구 원당대로246번길 15 (오류동)","22669","어게인","20210629163726","U","2021-07-01 02:40:00.0","","167077.668397","453932.109703748","동물장묘업","","L00","",
"23","동물장묘업","02_03_05_P","4050000","405000003820200001","20200114","","01","영업/정상","0000","정상","","","","","","0","","경기도 용인시 처인구 백암면 백암리 220번지","경기도 용인시 처인구 백암면 죽양대로 1206","17172","씨엘로펫","20200114153741","I","2020-01-16 00:23:36.0","","233226.30371161","407640.816160483","동물장묘업","","000","",
"24","동물장묘업","02_03_05_P","4720000","472000003820200001","20200305","","01","영업/정상","0000","정상","","","","","","0","","전라북도 완주군 이서면 은교리 508","전라북도 완주군 이서면 팥죽이로 205-7","55367","해피펫","20220421084309","U","2022-04-23 02:40:00.0","","201708.296681","255736.035755","동물장묘업","","000","0",
"25","동물장묘업","02_03_05_P","4720000","472000003820200002","20200420","","01","영업/정상","0000","정상","","","","","","0","","전라북도 완주군 소양면 신원리 1-3번지 현대오일뱅크","전라북도 완주군 소양면 전진로 1630, 현대오일뱅크","55346","전주 하늘","20200420174538","U","2020-04-22 02:40:00.0","","229122.306643","261830.105439","동물장묘업","","000","",
"26","동물장묘업","02_03_05_P","5690000","569000003820210001","20211220","","01","영업/정상","0000","정상","","","","","1533-4426","0","","세종특별자치시 장군면 금암리 88-1","세종특별자치시 장군면 정동길 76","30056","펫포유(PET FOR YOU)","20220221092138","U","2022-02-23 02:40:00.0","","220126.829953207","328678.055383175","동물장묘업","","000","0",
"27","동물장묘업","02_03_05_P","5210000","521000003820200001","20200602","","01","영업/정상","0000","정상","","","","","","0","","경상북도 성주군 선남면 오도리 91","경상북도 성주군 선남면 관용로 427","40042","강아지 펫 헤븐","20220111171838","U","2022-01-13 02:40:00.0","","323073.158259511","270523.135916261","동물장묘업","","000","0",
"28","동물장묘업","02_03_05_P","5220000","522000003820200001","20200603","","01","영업/정상","0000","정상","","","","","0549742220","0","","경상북도 칠곡군 가산면 다부리 651번지","경상북도 칠곡군 가산면 다부거문1길 51-68","39851","스윗드림 펫","20200603094609","I","2020-06-05 00:23:19.0","","337182.824551575","282837.988781224","동물장묘업","","L00","",
"29","동물장묘업","02_03_05_P","4670000","467000003820210001","20211125","","01","영업/정상","0000","정상","","","","","","0","","전라북도 군산시 경암동 570-39","전라북도 군산시 서래안1길 11, 2층 (경암동)","54031","서래안 펫타운","20220111105545","U","2022-01-13 02:40:00.0","","175138.614166","275762.72757","동물장묘업","","000","0",
"30","동물장묘업","02_03_05_P","3630000","363000003820160001","20160510","","01","영업/정상","0000","정상","","","","","062-946-2626","0","","광주광역시 광산구 지죽동 409-14번지","광주광역시 광산구 평동매화길 34 (지죽동)","62413","(주) 하늘펫","20181204093429","U","2018-12-06 02:40:00.0","","178024.850069","182429.217366","동물장묘업","","L00","",
"31","동물장묘업","02_03_05_P","5380000","538000003820160001","20160329","","01","영업/정상","0000","정상","","","","","055-374-6503","0","","경상남도 양산시 상북면 외석리 462-2","경상남도 양산시 상북면 오룡길 152","50582","메리온","20210120183746","U","2021-01-22 02:40:00.0","","385201","218987","동물장묘업","","000","",
"32","동물장묘업","02_03_05_P","5350000","535000003820180001","20180614","","01","영업/정상","0000","정상","","","","","1577-5474","0","","경상남도 김해시 생림면 봉림리 872-1","경상남도 김해시 생림면 생림대로928번길 10-5","50800","아이헤븐","20210727133353","U","2021-07-29 02:40:00.0","","367952.46809009","206148.962091343","동물장묘업","","000","0",
"33","동물장묘업","02_03_05_P","4540000","454000003820180001","20180828","","01","영업/정상","0000","정상","","","","","735-1700","0","","충청남도 논산시 연산면 청동리 16번지","충청남도 논산시 연산면 계백로 2172-13","32911","리멤버파크","20180828092750","I","2018-08-31 23:59:59.0","","219146.014355","301064.542051","","","","",
"34","동물장묘업","02_03_05_P","4260000","426000003820200001","20200707","","01","영업/정상","0000","정상","","","","","1566-4379","0","","강원도 횡성군 공근면 초원리 109-16","강원도 횡성군 공근면 경강로초원6길 58","25209","펫 메모리얼","20200714130859","U","2020-07-16 02:40:00.0","","281990.211140203","446825.205893553","동물장묘업","","L00","",
"35","동물장묘업","02_03_05_P","4440000","444000003820200001","20200715","","01","영업/정상","0000","정상","","","","","1544-9262","0","","충청북도 영동군 추풍령면 작점리 148","충청북도 영동군 추풍령면 작동1길 81","29120","스마일 어게인","20210119090450","U","2021-01-21 02:40:00.0","","293721.407842","300852.25453","동물장묘업","","000","",
"36","동물장묘업","02_03_05_P","5540000","554000003820200001","20200716","","01","영업/정상","0000","정상","","","","","","0","","경기도 광주시 곤지암읍 부항리 236","경기도 광주시 곤지암읍 신만로 305","12723","백꽃사랑하이빛","20200716174916","U","2020-07-18 02:40:00.0","","234887.905085338","428049.941608134","동물장묘업","","000","",
"37","동물장묘업","02_03_05_P","4760000","476000003820210001","20210720","","01","영업/정상","0000","정상","","","","","063-643-0486","0","","전라북도 임실군 오수면 금암리 864-1 오수펫추모공원","전라북도 임실군 오수면 춘향로 1554-95, 오수펫추모공원","55955","오수 펫 추모공원","20210720162120","I","2021-07-22 00:22:53.0","","231557.424086","226649.398228","동물장묘업","","L00","0",
"38","동물장묘업","02_03_05_P","4810000","481000003820210001","20210721","","01","영업/정상","0000","정상","","","","","","0","","전라남도 여수시 율촌면 취적리 964-3","전라남도 여수시 율촌면 조화길 31","59604","펫메모리얼파크","20210721114839","I","2021-07-23 00:22:52.0","","253856.157879","152040.891261","동물장묘업","","000","0",
"39","동물장묘업","02_03_05_P","4090000","409000003820080002","20130712","","01","영업/정상","0000","정상","","","","","031-981-0271","0","","경기도 김포시 하성면 양택리 251-6","경기도 김포시 하성면 하성로 720","10008","엔젤스톤","20211029160953","U","2021-10-31 02:40:00.0","","167305.185741877","470504.547442324","동물장묘업","","L00","0",
"40","동물장묘업","02_03_05_P","4090000","409000003820080003","20081107","","01","영업/정상","0000","정상","","","","","031-997-4445","0","","경기도 김포시 통진읍 귀전리 167","경기도 김포시 통진읍 고정로 308","10010","페트나라","20210820104629","I","2021-08-22 00:22:50.0","","164767.226657825","469222.194781071","동물장묘업","","000","0",
"41","동물장묘업","02_03_05_P","5530000","553000003820210001","20210818","","01","영업/정상","0000","정상","","","","","031-353-5579","0","","경기도 화성시 정남면 문학리 663","경기도 화성시 정남면 서봉로851번길 83","18522","스토리펫","20210818095058","U","2021-08-20 02:40:00.0","","195804.125151356","405618.764729081","동물장묘업","","000","0",
"42","동물장묘업","02_03_05_P","5420000","542000003820170001","20170808","","01","영업/정상","0000","정상","","","","","","0","","경상남도 고성군 회화면 봉동리 608-1","경상남도 고성군 회화면 봉오로 145-21","52916","주식회사 하늘소풍","20210928095841","U","2021-09-30 02:40:00.0","","327123.160784609","176499.236120058","동물장묘업","","L00","0",
"43","동물장묘업","02_03_05_P","5530000","553000003820190003","20190903","","01","영업/정상","0000","정상","","","","","1588-1289","0","","경기도 화성시 비봉면 양노리 755-5","경기도 화성시 비봉면 양노남길 108","18284","펫오케스트라","20201222163906","U","2020-12-24 02:40:00.0","","188265.168564066","413055.594903512","동물장묘업","","000","",
"44","동물장묘업","02_03_05_P","5530000","553000003820170001","20171208","","01","영업/정상","0000","정상","","","","","","0","","경기도 화성시 서신면 사곳리 5-18","경기도 화성시 서신면 안벼슬길102번길 165","18556","(주)우리반려동물문화원","20171208092601","I","2020-08-05 00:23:26.0","","176967.596223325","405910.328952567","동물장묘업","","L00","",
"45","동물장묘업","02_03_05_P","5530000","553000003820190001","20190605","","01","영업/정상","0000","정상","","","","","","0","","경기도 화성시 팔탄면 창곡리 925-6","경기도 화성시 팔탄면 독곡길 24-42","18525","강아지넷","20191008163839","I","2020-08-05 00:23:26.0","","190569.997285905","408137.559476533","동물장묘업","","000","",
"46","동물장묘업","02_03_05_P","5530000","553000003820190002","20190625","","01","영업/정상","0000","정상","","","","","","0","","경기도 화성시 서신면 사곳리 5-18","경기도 화성시 서신면 안벼슬길102번길 165","18556","(주)우리반려동물문화원","20190625175456","I","2020-08-05 00:23:26.0","","176967.596223325","405910.328952567","동물장묘업","","L00","",
"47","동물장묘업","02_03_05_P","4540000","454000003820180002","20200724","","01","영업/정상","0000","정상","","","","","041-735-1700","0","","충청남도 논산시 연산면 청동리 16","충청남도 논산시 연산면 계백로 2172-13","32911","리멤버파크","20201022133857","U","2020-10-24 02:40:00.0","","219146.014355","301064.542051","동물장묘업","","000","",
"48","동물장묘업","02_03_05_P","4430000","443000003820200001","20201109","","01","영업/정상","0000","정상","","","","","","0","","충청북도 옥천군 이원면 평계리 992-2 음식점","충청북도 옥천군 이원면 이원로 47, 음식점","29064","대전 스카이 펫","20210121155412","U","2021-01-23 02:40:00.0","","256461.768511","298218.433673","동물장묘업","","000","",
"49","동물장묘업","02_03_05_P","4960000","496000003820210001","20210323","","01","영업/정상","0000","정상","","","","","","0","","전라남도 함평군 학교면 월산리 259","전라남도 함평군 학교면 학교월봉길 217","57158","타임투반려동물장례문화원","20220221141016","U","2022-02-23 02:40:00.0","","158401.865073","172394.298692","동물장묘업","","L00","0",
"50","동물장묘업","02_03_05_P","3400000","340000003820210001","20210224","","01","영업/정상","0000","정상","","","","","051-728-5411","0","","부산광역시 기장군 일광면 동백리 383-2","부산광역시 기장군 일광면 차양길 175","46040","센트럴파크(주)","20210728133053","U","2021-07-30 02:40:00.0","","","","동물장묘업","","L00","0",
"51","동물장묘업","02_03_05_P","5710000","571000003820150001","20150701","","01","영업/정상","0000","정상","","","","","043-264-2666","0","","충청북도 청주시 서원구 남이면 구미리 233-1","충청북도 청주시 서원구 남이면 구미1길 37-47","28184","주식회사 펫로스엔젤","20210121154742","U","2021-01-23 02:40:00.0","","234195.558123","340702.899359","동물장묘업","","L00","",
"52","동물장묘업","02_03_05_P","5710000","571000003820170001","20170509","","01","영업/정상","0000","정상","","","","","043-283-2356","0","","충청북도 청주시 상당구 남일면 가중리 309-1","충청북도 청주시 상당구 남일면 신송서원길 120-30","28186","(주)우바스","20210308101057","U","2021-03-10 02:40:00.0","","243066.71883","340591.573881","동물장묘업","","L00","",
"53","동물장묘업","02_03_05_P","5690000","569000003820170001","20170407","","01","영업/정상","0000","정상","","","","","","0","","세종특별자치시 부강면 부강리 658-2번지","세종특별자치시 부강면 시목부강로 620","30074","무지개언덕","20191025135752","U","2019-10-27 02:40:00.0","","233774.771556238","335509.98651911","동물장묘업","","000","",
"54","동물장묘업","02_03_05_P","5540000","554000003820160001","20161117","","01","영업/정상","0000","정상","","","","","","0","","경기도 광주시 오포읍 문형리 749-5번지","경기도 광주시 오포읍 오포안로 77","12774","(주)펫포레스트","20190531085729","U","2019-06-02 02:40:00.0","","217487.497628413","427848.963486953","동물장묘업","","L00","",
"55","동물장묘업","02_03_05_P","5540000","554000003820170001","20170411","","01","영업/정상","0000","정상","","","","","","0","","경기도 광주시 초월읍 지월리 134","경기도 광주시 초월읍 지월로100번길 18","12728","(주)해피엔딩","20211126145120","U","2021-11-28 02:40:00.0","","226536.0743667","434551.789342354","동물장묘업","","L00","0",
"56","동물장묘업","02_03_05_P","5540000","554000003820080001","20080307","","01","영업/정상","0000","정상","","","","20201113","02-401-3384","0","","경기도 광주시 오포읍 매산리 139","경기도 광주시 오포읍 매자리길 185","","21그램 반려동물장례식장","20201113170507","U","2020-11-15 02:40:00.0","","223355.454056665","427508.571947262","동물장묘업","","L00","",
"57","동물장묘업","02_03_05_P","5540000","554000003820140001","20140714","","01","영업/정상","0000","정상","","","","","031-796-4341","0","","경기도 광주시 초월읍 지월리 712-10번지","경기도 광주시 초월읍 현산로361번길 12","12728","러브펫","20191230164538","U","2020-01-01 02:40:00.0","","225116.997657545","434999.834783652","동물장묘업","","000","",
"58","동물장묘업","02_03_05_P","3940000","394000003820150001","20151111","","01","영업/정상","0000","정상","","","","","031-976-3179","0","","경기도 고양시 일산동구 설문동 515-1번지","경기도 고양시 일산동구 은마길63번길 25-2 (설문동)","10252","(주)펫바라기","20180824133133","I","2018-08-31 23:59:59.0","","182813.35315607","467934.777096784","동물장묘업","","L00","",
"59","동물장묘업","02_03_05_P","4090000","409000003820170001","20170502","","01","영업/정상","0000","정상","","","","","1588-2888","0","","경기도 김포시 월곶면 개곡리 810-1","경기도 김포시 월곶면 애기봉로 262","10003","주식회사 하이루","20220627145021","U","2022-06-29 02:40:00.0","","162519.985198036","469834.579843145","동물장묘업","","000","0",
"60","동물장묘업","02_03_05_P","4090000","409000003820180001","20180418","","01","영업/정상","0000","정상","","","","","","0","","경기도 김포시 통진읍 귀전리 3-15번지","경기도 김포시 통진읍 애기봉로681번길 73-20, 2동 1층","10010","(주)마스꼬따 휴","20200429112624","U","2020-05-01 02:40:00.0","","165905.426246007","469457.2746339","동물장묘업","","L00","",
"61","동물장묘업","02_03_05_P","4090000","409000003820180002","20180713","","01","영업/정상","0000","정상","","","","","","0","","경기도 김포시 하성면 양택리 161-1번지","경기도 김포시 하성면 하성로 647","10008","아이드림펫","20190404164955","U","2019-04-06 02:40:00.0","","167118.161456354","469872.354665502","동물장묘업","","000","",
"62","동물장묘업","02_03_05_P","5350000","535000003820180002","20181219","","01","영업/정상","0000","정상","","","","","","0","","경상남도 김해시 한림면 안하리 264-12","경상남도 김해시 한림면 안하로 102","50852","시민반려동물장례식장","20220518102528","U","2022-05-20 02:40:00.0","","","","동물장묘업","","L00","0",
"63","동물장묘업","02_03_05_P","4200000","420000003820180001","20181220","","01","영업/정상","0000","정상","","","","","645-8888","0","","강원도 강릉시 사천면 석교리 779번지","강원도 강릉시 사천면 구라미길 376","25434","강릉펫사랑(장례식장)","20200429153714","U","2020-05-01 02:40:00.0","","359479.360977882","482638.797249649","동물장묘업","","000","",
"64","동물장묘업","02_03_05_P","3400000","340000003820200001","20201126","","01","영업/정상","0000","정상","","","","","0517274499","0","","부산광역시 기장군 장안읍 기룡리 240","부산광역시 기장군 장안읍 기룡길 11-33","46028","아이별","20201126175540","I","2020-11-28 00:23:08.0","","404848.177608109","208184.567743277","동물장묘업","","000","",
"65","동물장묘업","02_03_05_P","3560000","356000003820200002","20201218","","01","영업/정상","0000","정상","","","","","0317135002","0","","인천광역시 서구 대곡동 361-2","인천광역시 서구 설원로 79 (대곡동)","22600","(주)더포에버","20220325162753","U","2022-03-27 02:40:00.0","","171202.398103149","458211.477367177","동물장묘업","","L00","0",
"66","동물장묘업","02_03_05_P","5120000","512000003820220001","20220614","","01","영업/정상","0000","정상","","","","","","0","","경상북도 문경시 산북면 약석리 131","","","(주)젠틀펫","20220614100815","I","2022-06-16 00:22:30.0","","313134.030308661","352200.977256911","동물장묘업","","L00","0",
"67","동물장묘업","02_03_05_P","3930000","393000003820220001","20220622","","01","영업/정상","0000","정상","","","","","031-8042-2888","0","","경기도 안산시 단원구 고잔동 707-4 한남법조빌딩 513호","경기도 안산시 단원구 광덕서로 82, 한남법조빌딩 513호 (고잔동)","15471","주식회사 펫콤","20220622103425","I","2022-06-24 00:22:30.0","","184665.212141346","423344.918860954","동물장묘업","","L00","0",
"68","동물장묘업","02_03_05_P","4070000","407000003820130001","20130222","","03","폐업","0002","폐업","20170109","","","","031-637-8582","0","","경기도 이천시 마장면 장암리 525-1번지","경기도 이천시 마장면 이장로 329-2","17383","엘림펫","20170110165016","I","2018-08-31 23:59:59.0","","234562.792371488","419797.301835013","동물장묘업","","000","",
"69","동물장묘업","02_03_05_P","3340000","334000003820160001","20141030","","03","폐업","0002","폐업","20170719","","","","","0","","부산광역시 사하구 괴정동 1063-57번지","부산광역시 사하구 승학로233번길 87 (괴정동)","49321","(주)피케이프","20170719104052","I","2018-08-31 23:59:59.0","","381332.392892932","180325.868785677","동물장묘업","","L00","",
"70","동물장묘업","02_03_05_P","4060000","406000003820190001","20190401","","04","취소/말소/만료/정지/중지","0004","말소","","","","","1899-7822","0","","경기도 파주시 광탄면 기산리 521 오류골","경기도 파주시 광탄면 기산로186번길 9-46, 오류골","10953","꿈애","20200806180106","U","2020-08-08 02:40:00.0","","192765.22781053","474554.617017937","동물장묘업","","000","",
"71","동물장묘업","02_03_05_P","4850000","485000003820190001","20190816","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","","전라남도 담양군 봉산면 기곡리 274-1","전라남도 담양군 봉산면 죽향대로 729-1","57371","우양펫타운","20201216173735","U","2020-12-18 02:40:00.0","","197426.180152","197183.135951","동물장묘업","","000","",
"72","동물장묘업","02_03_05_P","3980000","398000003820160001","20161213","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","","경기도 구리시 토평동 711-1번지","경기도 구리시 장자호수길 76-141 (토평동)","11961","구리 에이지펫","20161216105749","I","2018-08-31 23:59:59.0","","212560.19086135","453223.79773689","동물장묘업","","L00","",
"73","동물장묘업","02_03_05_P","4090000","409000003820170002","20171220","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","","경기도 김포시 통진읍 귀전리 3-15번지","경기도 김포시 통진읍 애기봉로681번길 73-20","10010","마스꼬다 휴 주식회사","20190807170231","U","2019-08-09 02:40:00.0","","165905.426246007","469457.2746339","동물장묘업","","L00","",
